index,cleaned_text,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7
0,"two sum given an array of integers `nums` and an integer `target`, return indices of the two numbers such that they add up to `target`. you may assume that each input would have exactly one solution, and you may not use the same element twice. you can return the answer in any order. example 1: input: nums = [2,7,11,15], target = 9 output: [0,1] output: because nums[0] + nums[1] == 9, we return [0, 1]. example 2: input: nums = [3,2,4], target = 6 output: [1,2] example 3: input: nums = [3,3], target = 6 output: [0,1] constraints: `2 <= nums.length <= 103` `-109 <= nums[i] <= 109` `-109 <= target <= 109` only one valid answer exists. topics: array,hash table",1,1,3,4,3,3
1,"add two numbers you are given two non-empty linked lists representing two non-negative integers. the digits are stored in reverse order, and each of their nodes contains a single digit. add the two numbers and return the sum as a linked list. you may assume the two numbers do not contain any leading zero, except the number 0 itself. example 1: input: l1 = [2,4,3], l2 = [5,6,4] output: [7,0,8] explanation: 342 + 465 = 807. example 2: input: l1 = [0], l2 = [0] output: [0] example 3: input: l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9] output: [8,9,9,9,0,0,0,1] constraints: the number of nodes in each linked list is in the range `[1, 100]`. `0 <= node.val <= 9` it is guaranteed that the list represents a number that does not have leading zeros. topics: linked list,math,recursion",1,1,1,3,5,2
2,"longest substring without repeating characters given a string `s`, find the length of the longest substring without repeating characters. example 1: input: s = ""abcabcbb"" output: 3 explanation: the answer is ""abc"", with the length of 3. example 2: input: s = ""bbbbb"" output: 1 explanation: the answer is ""b"", with the length of 1. example 3: input: s = ""pwwkew"" output: 3 explanation: the answer is ""wke"", with the length of 3. notice that the answer must be a substring, ""pwke"" is a subsequence and not a substring. example 4: input: s = """" output: 0 constraints: `0 <= s.length <= 5 * 104` `s` consists of english letters, digits, symbols and spaces. topics: hash table,two pointers,string,sliding window",1,2,0,2,0,4
3,"median of two sorted arrays given two sorted arrays `nums1` and `nums2` of size `m` and `n` respectively, return the median of the two sorted arrays. example 1: input: nums1 = [1,3], nums2 = [2] output: 2.00000 explanation: merged array = [1,2,3] and median is 2. example 2: input: nums1 = [1,2], nums2 = [3,4] output: 2.50000 explanation: merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5. example 3: input: nums1 = [0,0], nums2 = [0,0] output: 0.00000 example 4: input: nums1 = [], nums2 = [1] output: 1.00000 example 5: input: nums1 = [2], nums2 = [] output: 2.00000 constraints: `nums1.length == m` `nums2.length == n` `0 <= m <= 1000` `0 <= n <= 1000` `1 <= m + n <= 2000` `-106 <= nums1[i], nums2[i] <= 106` follow up: the overall run time complexity should be `o(log (m+n))`. topics: array,binary search,divide and conquer",1,1,3,4,3,3
4,"longest palindromic substring given a string `s`, return the longest palindromic substring in `s`. example 1: input: s = ""babad"" output: ""bab"" note: ""aba"" is also a valid answer. example 2: input: s = ""cbbd"" output: ""bb"" example 3: input: s = ""a"" output: ""a"" example 4: input: s = ""ac"" output: ""a"" constraints: `1 <= s.length <= 1000` `s` consist of only digits and english letters (lower-case and/or upper-case), topics: string,dynamic programming",1,2,0,2,0,4
5,"zigzag conversion the string `""paypalishiring""` is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) p a h n a p l s i i g y i r and then read line by line: `""pahnaplsiigyir""` write the code that will take a string and make this conversion given a number of rows: string convert(string s, int numrows); example 1: input: s = ""paypalishiring"", numrows = 3 output: ""pahnaplsiigyir"" example 2: input: s = ""paypalishiring"", numrows = 4 output: ""pinalsigyahrpi"" explanation: p i n a l s i g y a h r p i example 3: input: s = ""a"", numrows = 1 output: ""a"" constraints: `1 <= s.length <= 1000` `s` consists of english letters (lower-case and upper-case), `','` and `'.'`. `1 <= numrows <= 1000` topics: string",1,2,0,2,0,4
6,"reverse integer given a signed 32-bit integer `x`, return `x` with its digits reversed. if reversing `x` causes the value to go outside the signed 32-bit integer range `[-231, 231 - 1]`, then return `0`. assume the environment does not allow you to store 64-bit integers (signed or unsigned). example 1: input: x = 123 output: 321 example 2: input: x = -123 output: -321 example 3: input: x = 120 output: 21 example 4: input: x = 0 output: 0 constraints: `-231 <= x <= 231 - 1` topics: math",1,1,3,4,5,2
7,"string to integer (atoi) implement the `myatoi(string s)` function, which converts a string to a 32-bit signed integer (similar to c/c++'s `atoi` function). the algorithm for `myatoi(string s)` is as follows: read in and ignore any leading whitespace. check if the next character (if not already at the end of the string) is `'-'` or `'+'`. read this character in if it is either. this determines if the final result is negative or positive respectively. assume the result is positive if neither is present. read in next the characters until the next non-digit charcter or the end of the input is reached. the rest of the string is ignored. convert these digits into an integer (i.e. `""123"" -> 123`, `""0032"" -> 32`). if no digits were read, then the integer is `0`. change the sign as necessary (from step 2). if the integer is out of the 32-bit signed integer range `[-231, 231 - 1]`, then clamp the integer so that it remains in the range. specifically, integers less than `-231` should be clamped to `-231`, and integers greater than `231 - 1` should be clamped to `231 - 1`. return the integer as the final result. note: only the space character `' '` is considered a whitespace character. do not ignore any characters other than the leading whitespace or the rest of the string after the digits. example 1: input: s = ""42"" output: 42 explanation: the underlined characters are what is read in, the caret is the current reader position. step 1: ""42"" (no characters read because there is no leading whitespace) ^ step 2: ""42"" (no characters read because there is neither a '-' nor '+') ^ step 3: ""42"" (""42"" is read in) ^ the parsed integer is 42. since 42 is in the range [-231, 231 - 1], the final result is 42. example 2: input: s = "" -42"" output: -42 explanation: step 1: "" -42"" (leading whitespace is read and ignored) ^ step 2: "" -42"" ('-' is read, so the result should be negative) ^ step 3: "" -42"" (""42"" is read in) ^ the parsed integer is -42. since -42 is in the range [-231, 231 - 1], the final result is -42. example 3: input: s = ""4193 with words"" output: 4193 explanation: step 1: ""4193 with words"" (no characters read because there is no leading whitespace) ^ step 2: ""4193 with words"" (no characters read because there is neither a '-' nor '+') ^ step 3: ""4193 with words"" (""4193"" is read in; reading stops because the next character is a non-digit) ^ the parsed integer is 4193. since 4193 is in the range [-231, 231 - 1], the final result is 4193. example 4: input: s = ""words and 987"" output: 0 explanation: step 1: ""words and 987"" (no characters read because there is no leading whitespace) ^ step 2: ""words and 987"" (no characters read because there is neither a '-' nor '+') ^ step 3: ""words and 987"" (reading stops immediately because there is a non-digit 'w') ^ the parsed integer is 0 because no digits were read. since 0 is in the range [-231, 231 - 1], the final result is 0. example 5: input: s = ""-91283472332"" output: -2147483648 explanation: step 1: ""-91283472332"" (no characters read because there is no leading whitespace) ^ step 2: ""-91283472332"" ('-' is read, so the result should be negative) ^ step 3: ""-91283472332"" (""91283472332"" is read in) ^ the parsed integer is -91283472332. since -91283472332 is less than the lower bound of the range [-231, 231 - 1], the final result is clamped to -231 = -2147483648. constraints: `0 <= s.length <= 200` `s` consists of english letters (lower-case and upper-case), digits (`0-9`), `' '`, `'+'`, `'-'`, and `'.'`. topics: math,string",1,2,0,2,5,2
8,"palindrome number given an integer `x`, return `true` if `x` is palindrome integer. an integer is a palindrome when it reads the same backward as forward. for example, `121` is palindrome while `123` is not. example 1: input: x = 121 output: true example 2: input: x = -121 output: false explanation: from left to right, it reads -121. from right to left, it becomes 121-. therefore it is not a palindrome. example 3: input: x = 10 output: false explanation: reads 01 from right to left. therefore it is not a palindrome. example 4: input: x = -101 output: false constraints: `-231 <= x <= 231 - 1` follow up: could you solve it without converting the integer to a string? topics: math",1,2,0,2,5,2
9,"regular expression matching given an input string (`s`) and a pattern (`p`), implement regular expression matching with support for `'.'` and `'*'` where:` ` `'.'` matches any single character.​​​​ `'*'` matches zero or more of the preceding element. the matching should cover the entire input string (not partial). example 1: input: s = ""aa"", p = ""a"" output: false explanation: ""a"" does not match the entire string ""aa"". example 2: input: s = ""aa"", p = ""a*"" output: true explanation: '*' means zero or more of the preceding element, 'a'. therefore, by repeating 'a' once, it becomes ""aa"". example 3: input: s = ""ab"", p = "".*"" output: true explanation: "".*"" means ""zero or more (*) of any character (.)"". example 4: input: s = ""aab"", p = ""c*a*b"" output: true explanation: c can be repeated 0 times, a can be repeated 1 time. therefore, it matches ""aab"". example 5: input: s = ""mississippi"", p = ""mis*is*p*."" output: false constraints: `0 <= s.length <= 20` `0 <= p.length <= 30` `s` contains only lowercase english letters. `p` contains only lowercase english letters, `'.'`, and `'*'`. it is guaranteed for each appearance of the character `'*'`, there will be a previous valid character to match. topics: string,dynamic programming,backtracking",1,2,0,2,0,4
10,"container with most water given `n` non-negative integers `a1, a2, ..., an` , where each represents a point at coordinate `(i, ai)`. `n` vertical lines are drawn such that the two endpoints of the line `i` is at `(i, ai)` and `(i, 0)`. find two lines, which, together with the x-axis forms a container, such that the container contains the most water. notice that you may not slant the container. example 1: input: height = [1,8,6,2,5,4,8,3,7] output: 49 explanation: the above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. in this case, the max area of water (blue section) the container can contain is 49. example 2: input: height = [1,1] output: 1 example 3: input: height = [4,3,2,1,4] output: 16 example 4: input: height = [1,2,1] output: 2 constraints: `n == height.length` `2 <= n <= 105` `0 <= height[i] <= 104` topics: array,two pointers",1,1,3,1,4,6
